"Kategoria","Numer","NumerSiG","Pozycja","Discrimination","Difficulty"
"Z01.odgłosy","9",9,"bam.bum.bęc",0.574024117567201,1.33262685178459
"Z04.pokarmy","79",NA,"ciasto",2.26688538576469,0.0218262605437418
"Z04.pokarmy","94",NA,"kakao",1.93322342381126,-0.672131523100903
"Z04.pokarmy","109",77,"mięso",3.15290554981207,0.00532876696335441
"Z06.ubrania","165",106,"pantofle.kapcie",2.50065805973978,-0.549724195774488
"Z08.w_domu","204",138,"balkon",2.23958155015418,-1.21054162227708
"Z08.w_domu","224",153,"schody",4.18583236442874,-0.342017454948124
"Z09.przedmioty_domowego_użytku","258",177,"nóż",2.77431255996545,-0.0165770069704576
"Z09.przedmioty_domowego_użytku","265",183,"ręcznik",4.28084422646099,-0.668806537880494
"Z09.przedmioty_domowego_użytku","275",189,"telefon.komórka",2.61665235982517,1.23760158255647
"Z10.na_dworze","312",216,"ziemia",3.34188368613815,-1.57790772286811
"Z11.miejsca_gdzie_można_pójść","313",NA,"apteka",2.62380389060512,-2.24404589796723
"Z11.miejsca_gdzie_można_pójść","315",NA,"góry",2.11137681914848,-1.9335992976189
"Z12.osoby","339",223,"dzieci",2.39065821103873,1.64690641021264
"Z14.przymiotniki","392",264,"gorący",2.11560015228819,0.0784298598479858
"Z14.przymiotniki","409",276,"zmęczony",3.5775897828448,-1.51319221462068
"Z15.przysłówki","411",252,"brzydko",2.53037555100349,-0.612002269543372
"Z15.przysłówki","417",264,"gorąco",2.58799780576907,-0.310084652739882
"Z15.przysłówki","419",NA,"mocno",3.39332418127029,-1.32513370956347
"Z16.czasowniki","456",NA,"krzyczeć.wołać",4.19862857930171,-1.30322056638326
"Z16.czasowniki","461",303,"lubić",3.9148306857637,-0.856137522928657
"Z16.czasowniki","463",304,"mieć..ma.",1.56148274879921,0.653014543368886
"Z16.czasowniki","486",NA,"pożyczyć",3.64206133387636,-3.43919028666691
"Z16.czasowniki","499",NA,"schować",4.50503598451456,-1.49484020714653
"Z16.czasowniki","506",323,"stać",3.38785509609127,-0.826536256427816
"Z16.czasowniki","515",330,"uciekać",4.24478995483238,-1.42111457979075
"Z16.czasowniki","539",NA,"znaleźć",4.9164801958461,-2.72955062689342
"Z17.określenia_miejsca","560",NA,"nigdzie",2.35532072450657,-2.14011099508928
"Z19.określenia_miary","589",NA,"cały",2.9302470476761,-1.57917551114678
"Z19.określenia_miary","594",NA,"też",2.00118825840907,-1.14803745569295
"Z20.zaimki_osobowe","608",NA,"sobie",2.2417617903773,-3.40095601940827
"Z20.zaimki_osobowe","609",364,"mój",2.07229408399446,0.934333001226577
"Z22.pytania","629",376,"kto.",2.34614080963552,-0.0389451060335299
"Z24.przyimki","652",NA,"o",1.3314590279596,0.114062747700695
"Z25.spójniki","665",NA,"bo",1.8322753798492,-1.01428207973845
